definir_nombre_tournois 4
enregistrement_tournoi Londres 2019
Romer_Charlotte Kobayashi_Honoka
Jandakate_Chompoothip Cervino_Celia
Salkova_Dominika Marino_Rebecca
Mandlik_Elizabeth Zvonareva_Vera
Plipuech_Peangtarn Cabrera_Lizette
Boisson_Lois Vismane_Daniela
Ccuno_Romina Bojovic_Jana
Omae_Akiko Paoletti_Matilde
Peterson_Rebecca Duerst_Jenny
Naef_Celine Lumsden_Maia
Hradecka_Lucie Kvitova_Petra
Hosonuma_Chisa Murta_Ines
Ozaki_Risa Marinkovic_Bojana
Laboutkova_Aneta Grabher_Julia
Mintegi_Ane Dentoni_Corinna
Charaeva_Alina Kukharchuk_Nika
Soylu_İpek Boulter_Katie
Ivakhnenko_Valentyna Kudermetova_Polina
Halep_Simona Vecic_Alexandra
Sanders_Storm Jovic_Jovana
Morisaki_Kanako Ezzat_Yasmin
Schoofs_Bibiane Komardina_Anastasiya
Anisimova_Amanda Linette_Magda
Kerkhove_Lesley Sizikova_Yana
Inoue_Hina Kanev_Kathleen
Janicijevic_Selena Fung_Stacey
Kalieva_Elvina Gamarra_Ingrid
Guerrero_Eva Hives_Zoe
Keys_Madison Hourigan_Paige
Lahey_Ashley Cadar_Elena-teodora
Kawaguchi_Natsumi Malygina_Elena
Stearns_Peyton Turati_Anna
Bjorklund_Mirjam Niemeier_Jule
Korpatsch_Tamara Rossi_Federica
Payola_Julia Keller_Nadine
Demidova_Diana Kubareva_Anna
Jokic_Katarina Bolton_Elysia
Rosca_Christina Kissell_Joelle
Meyer_Luisa Parks_Alycia
Muramatsu_Chihiro Khazaniuk_Deniz
Smith_Alicia Mitu_Andreea
Parazinskaite_Akvile Feng_Shuo
Leykina_Polina Wirges_Angelina
Lee_Eunhye Fett_Jana
Ostapenko_Jeļena Georgeta_Oana
Begu_Irina-Camelia Arshinkova_Petia
Rushiti_Arlinda Kania_Paula
Siskova_Anna Osaka_Naomi
Mishina_Daria Eala_Alexandra
Hercog_Polona Kolodynska_Jana
Jacquemot_Elsa Mladenovic_Kristina
Pereira_Teliana Kalinskaya_Anna
Hesse_Amandine Bouchard_Eugenie
Melnikova_Marina Wang_Qiang
Eraydin_Basak Droguet_Aubane
Silich_Alina Branstine_Carson
Laskutova_Ksenia Catini_Chiara
Mikulskyte_Justina Chaudhari_Vaidehi
CvetkoviC_Tina Yudanov_Marina
Andrianjafitrimo_Tessah Bacsinszky_Timea
Zantedeschi_Aurora Aksu_Ayla
Shibahara_Ena Wachaczyk_Julia
Guo_Hanyu Podoroska_Nadia
Ganga_Eugenia Ambrosio_Silvia
Romer_Charlotte Jandakate_Chompoothip
Salkova_Dominika Mandlik_Elizabeth
Plipuech_Peangtarn Boisson_Lois
Ccuno_Romina Omae_Akiko
Naef_Celine Peterson_Rebecca
Hosonuma_Chisa Hradecka_Lucie
Laboutkova_Aneta Ozaki_Risa
Mintegi_Ane Charaeva_Alina
Ivakhnenko_Valentyna Soylu_İpek
Sanders_Storm Halep_Simona
Schoofs_Bibiane Morisaki_Kanako
Anisimova_Amanda Kerkhove_Lesley
Janicijevic_Selena Inoue_Hina
Guerrero_Eva Kalieva_Elvina
Lahey_Ashley Keys_Madison
Kawaguchi_Natsumi Stearns_Peyton
Bjorklund_Mirjam Korpatsch_Tamara
Payola_Julia Demidova_Diana
Jokic_Katarina Rosca_Christina
Meyer_Luisa Muramatsu_Chihiro
Smith_Alicia Parazinskaite_Akvile
Leykina_Polina Lee_Eunhye
Begu_Irina-Camelia Ostapenko_Jeļena
Rushiti_Arlinda Siskova_Anna
Hercog_Polona Mishina_Daria
Pereira_Teliana Jacquemot_Elsa
Hesse_Amandine Melnikova_Marina
Eraydin_Basak Silich_Alina
Laskutova_Ksenia Mikulskyte_Justina
CvetkoviC_Tina Andrianjafitrimo_Tessah
Shibahara_Ena Zantedeschi_Aurora
Ganga_Eugenia Guo_Hanyu
Romer_Charlotte Salkova_Dominika
Ccuno_Romina Plipuech_Peangtarn
Hosonuma_Chisa Naef_Celine
Laboutkova_Aneta Mintegi_Ane
Sanders_Storm Ivakhnenko_Valentyna
Anisimova_Amanda Schoofs_Bibiane
Guerrero_Eva Janicijevic_Selena
Kawaguchi_Natsumi Lahey_Ashley
Payola_Julia Bjorklund_Mirjam
Jokic_Katarina Meyer_Luisa
Smith_Alicia Leykina_Polina
Begu_Irina-Camelia Rushiti_Arlinda
Hercog_Polona Pereira_Teliana
Hesse_Amandine Eraydin_Basak
Laskutova_Ksenia CvetkoviC_Tina
Shibahara_Ena Ganga_Eugenia
Ccuno_Romina Romer_Charlotte
Hosonuma_Chisa Laboutkova_Aneta
Sanders_Storm Anisimova_Amanda
Guerrero_Eva Kawaguchi_Natsumi
Payola_Julia Jokic_Katarina
Smith_Alicia Begu_Irina-Camelia
Hesse_Amandine Hercog_Polona
Laskutova_Ksenia Shibahara_Ena
