definir_nombre_tournois 10
enregistrement_tournoi Londres 2019
Kalieva_Elvina Vanhoutte_Chelsea
Kanepi_Kaia Ahn_Kristie
Parks_Alycia Day_Kayla
Wargnier_Lucie Martinez_Carlota
Yadlapalli_Pranjala Lapko_Vera
Hu_Victoria Han_Jiangxue
Graham_Alexa Bonaventure_Ysaline
Aikawa_Mayuka Marfutina_Maria
Bucsa_Cristina Subhash_Natasha
Lee_Sarah Rogowska_Olivia
Kerber_Angelique Ortenzi_Jazmin
Sleeth_Layne Pieri_Tatiana
Karunaratne_Adithya Adler_Lou
Radwanska_Urszula Carrillo_Alba
Hanatani_Nagi Kulambayeva_Zhibek
Grammatikopoulou_Valentini Duan_Yingying
Namigata_Junri Sabalenka_Aryna
Custic_Marta Radisic_Nika
Babos_Timea Anshba_Amina
Routliffe_Erin Kanev_Kathleen
Payola_Julia Tanaka_Yuuki
Shymanovich_Iryna Danilina_Anna
Yamaguchi_Mei Imanishi_Miharu
Semenistaja_Darja Hourigan_Paige
Navarro_Emma PotoCnik_Nina
Murta_Ines Sato_Naho
Manasse_Maegan Luangnam_Nudnida
Han_Na-lae Glushko_Lina
Feng_Shuo Grabher_Julia
Hozumi_Eri Kulikova_Anastasia
Arango_Emiliana Chang_Sophie
Antonitsch_Mira Amiraghyan_Ani
Zhuk_Sofya Contreras_Fernanda
Mitu_Andreea Fahey_Katharine
Demidova_Diana Tang_Qianhui
Bouzkova_Marie Salkova_Dominika
Marti_Sandy Tikhonova_Anastasia
Kiick_Allie Rouvroy_Margaux
Zacarias_Marcela Marinkovic_Bojana
Suvrijn_Jade Ene_Cristina
Molinaro_Eleonora Mertens_Elise
Schader_Laura Uchijima_Moyuka
Cengiz_Berfu Hsu_Chieh-yu
Chwalinska_Maja Van_Alison
Ibbou_Ines Cepelova_Jana
Dmitrichenko_Yekaterina Giorgi_Camila
Oz_Ipek Elie_Jennifer
Sakatsume_Himeno Siniakova_Katerina
Erjavec_Veronika Naito_Yuki
Hercog_Polona Vondrousova_Marketa
Rushiti_Arlinda Kawaguchi_Natsumi
Silva_Eden Mendez_Seone
Tkacheva_Mariia Gambogi_Sara
Desai_Zeel Romeo_Caroline
Omae_Akiko Hontama_Mai
Cisovska_Romana Gamarra_Ingrid
Gutierrez_Maria Riske_Alison
Halbauer_Elizabeth Samudio_Antonia
BreCkova_Nikola Errani_Sara
Avdeeva_Julia Cherubini_Diletta
Chernyshova_Maryna Shoshyna_Anastasiya
Klasen_Anna Brito_Fernanda
Raggi_Angelica Hon_Priscilla
Ivanova_Dasha Chavatipon_Charlotte
Kanepi_Kaia Kalieva_Elvina
Parks_Alycia Wargnier_Lucie
Hu_Victoria Yadlapalli_Pranjala
Aikawa_Mayuka Graham_Alexa
Bucsa_Cristina Lee_Sarah
Sleeth_Layne Kerber_Angelique
Radwanska_Urszula Karunaratne_Adithya
Grammatikopoulou_Valentini Hanatani_Nagi
Namigata_Junri Custic_Marta
Babos_Timea Routliffe_Erin
Shymanovich_Iryna Payola_Julia
Yamaguchi_Mei Semenistaja_Darja
Navarro_Emma Murta_Ines
Han_Na-lae Manasse_Maegan
Hozumi_Eri Feng_Shuo
Arango_Emiliana Antonitsch_Mira
Zhuk_Sofya Mitu_Andreea
Demidova_Diana Bouzkova_Marie
Kiick_Allie Marti_Sandy
Zacarias_Marcela Suvrijn_Jade
Molinaro_Eleonora Schader_Laura
Chwalinska_Maja Cengiz_Berfu
Ibbou_Ines Dmitrichenko_Yekaterina
Oz_Ipek Sakatsume_Himeno
Erjavec_Veronika Hercog_Polona
Silva_Eden Rushiti_Arlinda
Tkacheva_Mariia Desai_Zeel
Omae_Akiko Cisovska_Romana
Halbauer_Elizabeth Gutierrez_Maria
BreCkova_Nikola Avdeeva_Julia
Chernyshova_Maryna Klasen_Anna
Raggi_Angelica Ivanova_Dasha
Parks_Alycia Kanepi_Kaia
Hu_Victoria Aikawa_Mayuka
Sleeth_Layne Bucsa_Cristina
Grammatikopoulou_Valentini Radwanska_Urszula
Babos_Timea Namigata_Junri
